host,apex,signal_priority,priority_reason,included_via_subdomain,included_via_redirect,included_reason,redirect_target,redirect_chain,mx_present,spf,dkim_found,dmarc_policy,dnssec,mail_vendors,http_present,http_status,portal_signal,ct_count,breach_flag,score
kerncounty.com,kerncounty.com,High,score=19 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DMARC p=none; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.kerncounty.com,https://kerncounty.com/ -> http://www.kerncounty.com -> https://www.kerncounty.com/,True,v=spf1 include:spf.protection.outlook.com include:spfa.cpmails.com ip4:198.207.148.239 -all,True,none,False,microsoft,True,301,True,,,19
kerncountyfire.org,kerncountyfire.org,High,score=20 → High; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +3 No DMARC; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,kerncountyfire.org,https://kerncountyfire.org/,True,v=spf1 ip4:74.48.31.210 include:spf.protection.outlook.com include:autotask.net a mx ~all,True,,False,microsoft,True,301,True,,,20
kerndhs.com,kerndhs.com,Medium,score=11 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DMARC p=none; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.kerndhs.com/,True,v=spf1 ip4:97.78.224.11 ip4:97.78.224.12 ip4:97.78.224.15 ip4:97.78.224.16 ip4:67.124.172.31 ip4:35.174.145.124 ip4:216.70.88.213 ip4:192.30.71.11 include:spf.protection.outlook.com -all,True,none,False,microsoft,False,,False,,,11
kernbhrs.org,kernbhrs.org,High,score=21 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +3 No DMARC; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.kernbhrs.org,https://kernbhrs.org/ -> https://www.kernbhrs.org/,True,v=spf1 include:spf.protection.outlook.com include:spf.giva.net -all,True,,False,microsoft,True,301,True,,,21
kernprobation.org,kernprobation.org,High,score=14 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DMARC p=quarantine; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint,False,False,,www.kernprobation.com,https://kernprobation.org/ -> http://www.kernprobation.com -> https://www.kernprobation.com/,True,v=spf1 ip4:97.78.224.183 include:spf.protection.outlook.com -all,True,quarantine,False,microsoft,True,404,False,,,14
kernsheriff.org,kernsheriff.org,High,score=15 → High; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +3 No DMARC; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint,False,False,,kernsheriff.org,https://kernsheriff.org/,True,v=spf1 ip4:97.78.230.211/16 a:kernsheriff.org include:spf.protection.outlook.com mx ptr ~all,True,,False,microsoft,True,404,False,,,15
kernda.org,kernda.org,Medium,score=11 → Medium; +4 MX present; +2 SPF -all (hard fail); +3 No DMARC; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.kernda.org/,True,v=spf1 include:spf.protection.outlook.com -all,False,,False,microsoft,False,,False,,,11
co.kern.ca.us,kern.ca.us,Included,Subdomain of covered apex kern.ca.us,True,False,Subdomain of covered apex kern.ca.us,www.kerncounty.com,https://www.co.kern.ca.us/ -> https://www.kerncounty.com/,True,v=spf1 include:spf.protection.outlook.com -all,False,,False,microsoft,True,301,True,,,0
filmkern.com,filmkern.com,Low,score=-1 → Low; -2 No MX (email risk dampened); +1 DNSSEC absent,False,False,,,http://www.filmkern.com/,False,,False,,False,,False,,False,,,-1
kernlegacyhp.com,kernlegacyhp.com,High,score=14 → High; +4 MX present; +2 SPF -all (hard fail); +3 No DMARC; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint,False,False,,kernlegacyhp.com,http://kernlegacyhp.com/,True,v=spf1 include:spf.protection.outlook.com -all,False,,False,microsoft,True,404,False,,,14
kernplanning.com,kernplanning.com,High,score=20 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +3 No DMARC; +1 DNSSEC absent; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,kernplanning.com,https://kernplanning.com/,True,v=spf1 a:5817.submission.antispamcloud.com a:release.antispamcloud.com include:sendgrid.net -all,True,,False,,True,301,True,,,20
visitkern.com,visitkern.com,Low,score=2 → Low; -2 No MX (email risk dampened); +1 DNSSEC absent; +3 Active HTTP endpoint,False,False,,visitkern.com,https://visitkern.com/,False,,False,,False,,True,404,False,,,2
